date,year,name_en,name_ru,event_type
2030-02-07,2030,Visvanatha Cakravarti Thakura,Вишванатха Чакраварти Тхакур,уход
2030-02-18,2030,Narottama Dasa Thakura,Нароттама Дас Тхакур,явление
2030-02-22,2030,Bhaktisiddhanta Sarasvati Thakura,Бхактисиддханта Сарасвати Тхакур,явление
2030-06-30,2030,Bhaktivinoda Thakura,Бхактивинода Тхакур,уход
2030-07-15,2030,Sanatana Gosvami,Санатана Госвами,уход
2030-07-19,2030,Gopala Bhatta Gosvami,Гопала Бхатта Госвами,уход
2030-08-10,2030,Rupa Gosvami,Рупа Госвами,уход
2030-08-22,2030,Prabhupada,Шрила Прабхупада,явление
2030-09-09,2030,Jiva Gosvami,Джива Госвами,явление
2030-09-10,2030,Bhaktivinoda Thakura,Бхактивинода Тхакур,явление
2030-10-08,2030,Krsnadasa Kaviraja Gosvami,Кришнадас Кавирадж Госвами,уход
2030-10-08,2030,Raghunatha Bhatta Gosvami,Рагхунатха Бхатта Госвами,уход
2030-10-08,2030,Raghunatha Dasa Gosvami,Рагхунатха Даса Госвами,уход
2030-10-16,2030,Narottama Dasa Thakura,Нароттама Дас Тхакур,уход
2030-10-30,2030,Prabhupada,Шрила Прабхупада,уход
2030-12-14,2030,Bhaktisiddhanta Sarasvati Thakura,Бхактисиддханта Сарасвати Тхакур,уход
2030-12-27,2030,Jiva Gosvami,Джива Госвами,уход
2031-01-13,2031,Gopala Bhatta Gosvami,Гопала Бхатта Госвами,явление
2031-01-27,2031,Raghunatha Dasa Gosvami,Рагхунатха Даса Госвами,явление
2031-01-27,2031,Visvanatha Cakravarti Thakura,Вишванатха Чакраварти Тхакур,уход
2031-02-07,2031,Narottama Dasa Thakura,Нароттама Дас Тхакур,явление
2031-02-12,2031,Bhaktisiddhanta Sarasvati Thakura,Бхактисиддханта Сарасвати Тхакур,явление
2031-06-19,2031,Bhaktivinoda Thakura,Бхактивинода Тхакур,уход
2031-07-04,2031,Sanatana Gosvami,Санатана Госвами,уход
2031-07-09,2031,Gopala Bhatta Gosvami,Гопала Бхатта Госвами,уход
